product_id,product_name,source_url,current_screening_status,previous_review_reason_type,enriched_fields,still_missing_fields,evidence_confidence_summary,risk_flags_after_enrichment,final_margin_rate,supplier_score_reason,keyword_visibility_score,cs_burden_score,promotion_candidate,promotion_block_reason,next_action
"RAW_camera_screw_adapter_4_b8cm7","[자동번역] camera screw adapter - 상품 4","https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_4_b8cm7","REVIEW_ONLY","OPTION_MISSING","source_option_name 부족","","source_option_name 부족:MEDIUM","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","true","","재심사 엔진(Screener) 투입"
"RAW_camera_screw_adapter_6_j1lgt","[자동번역] camera screw adapter - 상품 6","https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_6_j1lgt","REVIEW_ONLY","COMPONENT_MISSING","supplier_score_reason 부족","component_quantity 부족","component_quantity 부족:LOW, supplier_score_reason 부족:MEDIUM","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","false","핵심 증거 신뢰도 부족 또는 추가 수동 확인 필요","추가 증거 확보 시도"
"RAW_camera_screw_adapter_8_i9ea7","[자동번역] camera screw adapter - 상품 8","https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_8_i9ea7","REVIEW_ONLY","OPTION_MISSING","source_option_name 부족","","source_option_name 부족:HIGH","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","true","","재심사 엔진(Screener) 투입"
"RAW_camera_screw_adapter_11_qpq91","[자동번역] camera screw adapter - 상품 11","https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_11_qpq91","REVIEW_ONLY","OPTION_MISSING","source_spec_text 부족","source_option_name 부족","source_spec_text 부족:HIGH, source_option_name 부족:LOW","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","false","핵심 증거 신뢰도 부족 또는 추가 수동 확인 필요","추가 증거 확보 시도"
"RAW_camera_screw_adapter_14_o1tfd","[자동번역] camera screw adapter - 상품 14","https://item.taobao.com/item.htm?id=RAW_camera_screw_adapter_14_o1tfd","REVIEW_ONLY","OPTION_MISSING","source_spec_text 부족 | source_option_name 부족","","source_spec_text 부족:HIGH, source_option_name 부족:MEDIUM","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","true","","재심사 엔진(Screener) 투입"
"RAW_tripod_screw_adapter_5_c832m","[자동번역] tripod screw adapter - 상품 5","https://item.taobao.com/item.htm?id=RAW_tripod_screw_adapter_5_c832m","REVIEW_ONLY","SPEC_MISSING","나사 규격 증거 부족","source_option_name 부족","source_option_name 부족:LOW, 나사 규격 증거 부족:MEDIUM","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","false","핵심 증거 신뢰도 부족 또는 추가 수동 확인 필요","추가 증거 확보 시도"
"RAW_tripod_screw_adapter_8_qol6e","[자동번역] tripod screw adapter - 상품 8","https://item.taobao.com/item.htm?id=RAW_tripod_screw_adapter_8_qol6e","REVIEW_ONLY","SPEC_MISSING","나사 규격 증거 부족","source_option_name 부족","source_option_name 부족:LOW, 나사 규격 증거 부족:HIGH","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","false","핵심 증거 신뢰도 부족 또는 추가 수동 확인 필요","추가 증거 확보 시도"
"RAW_1/4_3/8_adapter_6_zc9hs","[자동번역] 1/4 3/8 adapter - 상품 6","https://item.taobao.com/item.htm?id=RAW_1/4_3/8_adapter_6_zc9hs","REVIEW_ONLY","DETAIL_PAGE_NEEDS_WORK","","",":HIGH","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","false","핵심 증거 신뢰도 부족 또는 추가 수동 확인 필요","추가 증거 확보 시도"
"RAW_1/4_3/8_adapter_12_uurww","[자동번역] 1/4 3/8 adapter - 상품 12","https://item.taobao.com/item.htm?id=RAW_1/4_3/8_adapter_12_uurww","REVIEW_ONLY","COMPONENT_MISSING","component_quantity 부족","","component_quantity 부족:HIGH","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","false","핵심 증거 신뢰도 부족 또는 추가 수동 확인 필요","추가 증거 확보 시도"
"RAW_1/4_3/8_adapter_14_0es6z","[자동번역] 1/4 3/8 adapter - 상품 14","https://item.taobao.com/item.htm?id=RAW_1/4_3/8_adapter_14_0es6z","REVIEW_ONLY","OPTION_MISSING","source_option_name 부족","","source_option_name 부족:MEDIUM","NONE","0.32","보강 완료: 실구매자 평점 및 배송 신뢰도 확인됨","85","35","false","핵심 증거 신뢰도 부족 또는 추가 수동 확인 필요","추가 증거 확보 시도"
